sentence,category,RequisitionID,JobTitle
"SURVIVABILITY ENGINEER 2 Location: Newport News, Virginia, United States Date: Aug 14, 2023 Req ID: 33718 Team: E46 SHIP SURVABLTY Entity: Newport News Shipbuilding US Citizenship Required for this Position: Yes Full-Time Shift: 1st Relocation: No relocation assistance available Virtual/Telework Opportunity: Yes - Occasional or hybrid telework available Travel Requirement: Yes, up to 10% of the time Clearance Required: Yes- Final Clearance Required to Start Meet HII's Newport News Shipbuilding With more than 25,000 employees - including third-, fourth- and even fifth-generation shipbuilders - HII's Newport News Shipbuilding (NNS) division is the largest industrial employer in Virginia.",Legal,33718,ENGINEER (all other)
"The Role Analyzes, researches and develops structural engineering specifications involving metals, non-metallic or composite structural materials for product design, or operation of product to include structures, mechanical, hydraulic, electrical and electronics, power plant, armament, heating and ventilating, equipment and maintenance designs.",Description,33718,ENGINEER (all other)
"Analyzes damage tolerance, durability, design allowables and structural modeling.",Description,33718,ENGINEER (all other)
"Specific structural engineering specialties may include dynamics and loads, stability and stress fatigue and thermal analysis.",Description,33718,ENGINEER (all other)
"Tools utilized may include CATIA, IDEAS, ProEngineer and a variety of software applications.",Description,33718,ENGINEER (all other)
"This position is in the Ship Survivability Department supporting the construction, maintenance, overhaul, and modernization of CVN 68 and CVN 78 Class aircraft carriers as well as research and development, specialized technical assignments, and cost reduction initiatives.",Description,33718,ENGINEER (all other)
"The successful applicant should have technical knowledge in naval ship survivability, aircraft carrier protection systems, and experience related to designing and maintaining naval ship structures, materials, welding, and NDT.",Description,33718,ENGINEER (all other)
This position will involve resolving complex issues that require ingenuity and creativity.,Description,33718,ENGINEER (all other)
Must Have Bachelor's Degree and 2 years of relevant exempt experience; Master's Degree and 0 year of relevant professional experience Newport News Shipbuilding requires a Bachelor's Degree in engineering from an ABET accredited program.,Requirements,33718,ENGINEER (all other)
"Nice to Have - Excellent communication, both written and verbal.",Requirements,33718,ENGINEER (all other)
- Critical thinking and problem solving skills.,Requirements,33718,ENGINEER (all other)
"- Excellent MS Office skills, including Word, PowerPoint, and Excel.",Requirements,33718,ENGINEER (all other)
- Ability to work as a member of an interdisciplinary team.,Requirements,33718,ENGINEER (all other)
- Experience with AutoCAD.,Requirements,33718,ENGINEER (all other)
- Experience with Teamcenter/NX.,Requirements,33718,ENGINEER (all other)
- Experience with MATLAB or MathCAD.,Requirements,33718,ENGINEER (all other)
Why HII We serve the heroes who protect our freedom.,Marketing,33718,ENGINEER (all other)
"Our 44,000-strong team builds the world's most powerful, survivable naval ships and defense technology solutions that safeguard our seas, sky, land, space and cyber.",Marketing,33718,ENGINEER (all other)
"HII's diverse workforce includes skilled tradespeople; artificial intelligence, machine learning (AI/ML) experts; engineers; technologists; scientists; logistics experts; and business administration professionals.",Marketing,33718,ENGINEER (all other)
"Recognized as one of America's top large company employers, we are a values and ethics driven organization that puts people's safety and well-being first.",Marketing,33718,ENGINEER (all other)
"Regardless of your role or where you serve, at HII, you'll find a supportive and welcoming environment, competitive benefits, and valuable educational and training programs for continual career growth at every stage of your career.",Marketing,33718,ENGINEER (all other)
Working at HII is more than a job - it's an opportunity to build a future.,Marketing,33718,ENGINEER (all other)
"We offer comprehensive benefits including: medical, prescription drug, dental and vision plan choices, on-site health centers, tele-medicine, wellness resources, employee assistance programs, savings plan options (401K), financial education and planning tools, life insurance, tuition reimbursement, employee discounts, early childhood and post-secondary education scholarships, and more.",Marketing,33718,ENGINEER (all other)
Some benefits may vary depending on your specific division or work location.,Marketing,33718,ENGINEER (all other)
Together we are working to ensure a future where everyone can be free and thrive.,Marketing,33718,ENGINEER (all other)
"Today's challenges are bigger than ever, and the nation needs the best of us.",Marketing,33718,ENGINEER (all other)
"It's why we're focused on hiring, developing and nurturing our diversity.",Marketing,33718,ENGINEER (all other)
"We believe that diversity among our workforce strengthens the organization, stimulates creativity, promotes the exchange of ideas and enriches the work lives of all our employees.",Marketing,33718,ENGINEER (all other)
"All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law.",Legal,33718,ENGINEER (all other)
U.S. Citizenship may be required for certain positions.,Legal,33718,ENGINEER (all other)
Do You Need Assistance?,Legal,33718,ENGINEER (all other)
"If you need a reasonable accommodation for any part of the employment process, please send an e-mail to buildyourcareer@hii-co.com and let us know the nature of your request and your contact information.",Legal,33718,ENGINEER (all other)
Reasonable accommodations are considered on a case-by-case basis.,Legal,33718,ENGINEER (all other)
Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.,Legal,33718,ENGINEER (all other)
"Additionally, you may also call 1-844-849-8463 for assistance.",Legal,33718,ENGINEER (all other)
Press #2 for Newport News Shipbuilding.,Legal,33718,ENGINEER (all other)
"Requisition Number: 15838 Required Travel: 0 - 10% Employment Type: Full Time/Salaried/Exempt Hours Per Week: 40 Security Clearance: Top Secret Level of Experience: Senior Summary HII Mission Technologies Division is seeking a Database Engineer to work on a team executing integration efforts on the Modeling, Simulation, and Training environment at the Virtual Test and Training Center (VTTC) to support the U.S. Air Force Warfare Center, Joint Simulation Environment (JSE) team, at Nellis, NV.",Description,15838,ENGINEER (all other)
"The primary simulation software will be NAVAIR's Next Generation Threat System (NGTS), a product that provides constructive entities to the battlespace simulation.",Description,15838,ENGINEER (all other)
"NGTS is a continually evolving synthetic environment generator that supports multiple platform/services training, testing, analysis and research and development.",Description,15838,ENGINEER (all other)
"HII builds the world's most powerful, survivable naval ships and defense technology solutions that safeguard our seas, sky, land, space and cyber.",Marketing,15838,ENGINEER (all other)
"Our diverse workforce of more than 43,000 includes skilled tradespeople; artificial intelligence, machine learning (AI/ML) experts; engineers; technologists; scientists; logistics experts; and business administration professionals.",Marketing,15838,ENGINEER (all other)
"Recognized as one of America's top large employers, we are a values and ethics driven organization that puts people's safety and well-being first.",Marketing,15838,ENGINEER (all other)
"For a short video about Mission Technologies, click here: https://hii.com/capabilities/mission-technologies/ # What you will do Candidate will be part of a larger team that addresses overarching systems administration, networking, Information Technology support for a robust integration effort supporting the integration of multiple complex JSE based VTTC simulators and advanced JSE Battlespace enclaves with various security levels up to TS and beyond.",Description,15838,ENGINEER (all other)
+ The candidate will be familiar with Information Technology (IT) functions across a broad range of hardware and software.,Description,15838,ENGINEER (all other)
+ Supports both Microsoft and Linux based Operating Systems to ensure seamless and uninterrupted services,Description,15838,ENGINEER (all other)
"+ Ability to manage and maintain system licenses, updates, patches and status of all associated hardware/software.",Description,15838,ENGINEER (all other)
"+ Create and administer virtual machines (VM), enable LAN technologies, configure network layer 2 / 3 devices, configure DNS settings, maintain active directory, support/maintain time sync servers, develop and maintain group policies, provide shared folder resources, Support thin/zero client architecture, establish and maintain accounts (user access and logins), and support the integration of specialized JSE applications and software, both Government off-the-shelf (GOTS) and Commercial off-the-shelf (COTS).",Description,15838,ENGINEER (all other)
"+ Support configuration management by creating and maintaining standard operating procedures, Developing a concept of operations for the system, maintaining system checklists, monitoring performance and functionality of all systems/enclaves/networks, supporting audit requirements, maintaining complete hardware and software inventories, conducting asset / change management, establishing and maintaining the systems performance benchmarks, physical, and functional configuration documentation (e.g., baselines, network diagrams, physical topology, etc.).",Description,15838,ENGINEER (all other)
"+ Maintain large GPU arrays, maintain data storage, backups, virtual disks, and configure all servers and network devices.",Description,15838,ENGINEER (all other)
"+ Provide system administration support for the management of Tactical Local Area Network Encryptors (TACLANEs), firewalls, and Intrusion Detection / Prevention Systems.",Description,15838,ENGINEER (all other)
What you must have + Must have 9 years relevant experience with Bachelors in related field; 7 years relevant experience with Masters in related field; 4 years relevant experience with PhD or Juris Doctorate in related field; or High School Diploma or equivalent and 13 years relevant experience.,Requirements,15838,ENGINEER (all other)
+ Must have a current Information Assurance Technical (IAT) Level II certification - https://public.cyber.mil/wid/cwmp/dod-approved-8570-baseline-certifications/,Requirements,15838,ENGINEER (all other)
"+ Must have excellent communication, interpersonal and presentation skills.",Requirements,15838,ENGINEER (all other)
+ Must have ability to work flexible schedule to support customer requirements.,Requirements,15838,ENGINEER (all other)
+ Must hold an active or current DoD TS/SCI Clearance.,Requirements,15838,ENGINEER (all other)
+ Must be a U.S. Citizen,Requirements,15838,ENGINEER (all other)
"Physical Requirements May require working in an office, industrial, shipboard, or laboratory environment.",Description,15838,ENGINEER (all other)
Capable of climbing ladders and tolerating confined spaces and extreme temperature variances.,Description,15838,ENGINEER (all other)
"This opportunity resides with Live, Virtual, Constructive Solutions, a business group within HII's Mission Technologies division.",Description,15838,ENGINEER (all other)
"As a trusted partner to our military customers, we design, develop and operate systems that bring together service members from across the globe to help you train like you fight, because we understand that preparation requires full coordination-not readiness in piece parts.",Marketing,15838,ENGINEER (all other)
HII is a global engineering and defense technologies provider.,Marketing,15838,ENGINEER (all other)
"With a 135-year history of trusted partnerships in advancing U.S. national security, HII delivers critical capabilities ranging from the most powerful and survivable naval ships ever built, to unmanned systems, ISR and AI/ML analytics.",Marketing,15838,ENGINEER (all other)
"HII leads the industry in mission-driven solutions that support and enable a networked, all-domain force.",Marketing,15838,ENGINEER (all other)
"Headquartered in Virginia, HII's skilled workforce is 44,000 strong.",Marketing,15838,ENGINEER (all other)
"For more information, please visit: hii.com.",Marketing,15838,ENGINEER (all other)
HII is committed to cultivating an inclusive company culture to promote collaboration and enhance creativity by hiring a diverse work force.,Marketing,15838,ENGINEER (all other)
HII is an Equal Opportunity/Vets and Disabled Employer.,Legal,15838,ENGINEER (all other)
U.S. Citizenship may be required for certain positions.,Legal,15838,ENGINEER (all other)
"Secure our Nation, Ignite your Future Automation & Orchestration Engineer Location: Arlington, VA",Marketing,R38896,ENGINEER (all other)
Job Description:,Description,R38896,ENGINEER (all other)
Seeking an experienced Automation & Orchestration Engineer to support the Compartmented Enterprise Services Office (CESO) Task Order for the GIG Service Management - Operations II (GSM-O II) contract.,Description,R38896,ENGINEER (all other)
"This person should be a seasoned, self-motivated, professional with at least 10 years of hands-on engineering and testing experience in virtualized environments.",Description,R38896,ENGINEER (all other)
"A skilled technician knowledgeable and experienced in infrastructure such as code environments, automating patches and system configurations, orchestrating network operations and DevOps pipelines, automating and orchestrating operations, scaling releases, and day-to-day system operations in commercial cloud environments.",Description,R38896,ENGINEER (all other)
"PRIMARY RESPONSIBILITIES: Tasks include: + Provide continuous development and continuous integration to include operational engineering and integration, release management, implementation & migration, and training & knowledge transfer",Description,R38896,ENGINEER (all other)
+ Operational Engineering and Integration:,Description,R38896,ENGINEER (all other)
"+ Develop, document, and maintain functional, integration, security, and load/stress testing procedure",Description,R38896,ENGINEER (all other)
"+ Document and deliver an approach for automated acceptance testing, integration/regression testing, all new applications, and all new capabilities",Description,R38896,ENGINEER (all other)
+ Release Management:,Description,R38896,ENGINEER (all other)
"+ Participate in the development of the release management process, procedures, and policies",Description,R38896,ENGINEER (all other)
"+ Establish, manage, update, and maintain the overall Release Management Plan and Release Schedule",Description,R38896,ENGINEER (all other)
"+ Conduct site surveys, as necessary, to assess existing equipment and software being used to validate release package requirements and dependencies",Description,R38896,ENGINEER (all other)
+ Implementation & Migration:,Description,R38896,ENGINEER (all other)
+ Facilitate the migration of customer data and metadata onto the CESO architecture and applications,Description,R38896,ENGINEER (all other)
"+ Develop, document, and maintain implementation and migration procedures",Description,R38896,ENGINEER (all other)
+ Install or migrate new and upgraded services components or services into operations,Description,R38896,ENGINEER (all other)
+ Training & Knowledge Transfer,Description,R38896,ENGINEER (all other)
